(?)	<id>(?)</id> <disp>douteux</disp>
Ancien germ.	<id>Ancien germ.</id> <disp>NEW</disp> TODO <count>1</count>
ang.	<id>ang.</id> <disp>NEW</disp> TODO <count>22</count>
Ang.	<id>Ang.</id> <disp>NEW</disp> TODO <count>9</count>
angl.	<id>angl.</id> <disp>anglais</disp>
Angl.	<id>Angl.</id> <disp>anglais</disp>
Angl. sax.	<id>Angl. sax.</id> <disp>NEW</disp> TODO <count>1</count>
anglo sax.	<id>anglo sax.</id> <disp>NEW</disp> TODO <count>1</count>
Anglosaxon	<id>Anglosaxon</id> <disp>NEW</disp> TODO <count>1</count>
aor.	<id>aor.</id> <disp>aoriste</disp>
Aor.	<id>Aor.</id> <disp>aoriste</disp>
arab.	<id>arab.</id> <disp>NEW</disp> TODO <count>1</count>
arith.	<id>arith.</id> <disp>NEW</disp> TODO <count>5</count>
astr.	<id>astr.</id> <disp>astronomie</disp>
astron.	<id>astron.</id> <disp>NEW</disp> TODO <count>4</count>
aug.	<id>aug.</id> <disp>augmentatif</disp>
Aug.	<id>Aug.</id> <disp>augmentatif</disp>
auj.	<id>auj.</id> <disp>NEW</disp> TODO <count>29</count>
bd.	<id>bd.</id> <disp>bouddhique</disp>
Bd.	<id>Bd.</id> <disp>bouddhique</disp>
bot.	<id>bot.</id> <disp>botanique</disp>
bret.	<id>bret.</id> <disp>NEW</disp> TODO <count>3</count>
Breton	<id>Breton</id> <disp>NEW</disp> TODO <count>1</count>
breton.	<id>breton.</id> <disp>NEW</disp> TODO <count>1</count>
c-à-d.	<id>c-à-d.</id> <disp>c’est-à-dire</disp>
c.	<id>c.</id> <disp>causatif</disp>
C.	<id>C.</id> <disp>causatif</disp>
c.-à-d.	<id>c.-à-d.</id> <disp>c’est-à-dire</disp>
cf.	<id>cf.</id> <disp>comparez; confer</disp>
Cf.	<id>Cf.</id> <disp>Comparez; Confer</disp>
ch.	<id>ch.</id> <disp>chose</disp>
Cl.	<id>Cl.</id> <disp>classe</disp>
cl.	<id>cl.</id> <disp>classe</disp>
comm.	<id>comm.</id> <disp>NEW</disp> TODO <count>1</count>
comp.	<id>comp.</id> <disp>comparatif</disp>
Comp.	<id>Comp.</id> <disp>comparatif</disp>
compar.	<id>compar.</id> <disp>comparatif</disp>
compos.	<id>compos.</id> <disp>composition, composés</disp>
composit.	<id>composit.</id> <disp>composition</disp>
cond.	<id>cond.</id> <disp>conditionnel</disp>
conj.	<id>conj.</id> <disp>conjonction</disp>
conjf.	<id>conjf.</id> <disp>conjonctif</disp>
conjug.	<id>conjug.</id> <disp>NEW</disp> TODO <count>1</count>
Crét.	<id>Crét.</id> <disp>NEW</disp> TODO <count>1</count>
d.	<id>d.</id> <disp>datif</disp>
dan.	<id>dan.</id> <disp>NEW</disp> TODO <count>1</count>
dat.	<id>dat.</id> <disp>datif</disp>
den.	<id>den.</id> <disp>NEW</disp> TODO <count>25</count>
distr.	<id>distr.</id> <disp>NEW</disp> TODO <count>1</count>
dor.	<id>dor.</id> <disp>NEW</disp> TODO <count>1</count>
du.	<id>du.</id> <disp>duel</disp>
Du.	<id>Du.</id> <disp>duel</disp>
dém.	<id>dém.</id> <disp>démonstratif</disp>
dén.	<id>dén.</id> <disp>(verbe) dénominatif/issu d’un nom</disp>
dénom.	<id>dénom.</id> <disp>(verbe) dénominatif/issu d’un nom</disp>
dénomin.	<id>dénomin.</id> <disp>NEW</disp> TODO <count>8</count>
dériv.	<id>dériv.</id> <disp>NEW</disp> TODO <count>1</count>
dés.	<id>dés.</id> <disp>désidératif</disp>
Dés.	<id>Dés.</id> <disp>désidératif</disp>
E.	<id>E.</id> <disp>NEW</disp> TODO <count>2</count>
esp.	<id>esp.</id> <disp>espèce</disp>
Esp.	<id>Esp.</id> <disp>Espèce</disp>
etc.	<id>etc.</id> <disp>et cetera : « et le reste »</disp>
ex.	<id>ex.</id> <disp>exemple</disp>
ext.	<id>ext.</id> <disp>extension</disp>
f.	<id>f.</id> <disp>féminin</disp>
F.	<id>F.</id> <disp>Féminin</disp>
f1.	<id>f1.</id> <disp>futur 1er</disp>
F1.	<id>F1.</id> <disp>futur 1er</disp>
f2.	<id>f2.</id> <disp>futur 2d</disp>
F2.	<id>F2.</id> <disp>futur 2d</disp>
fig.	<id>fig.</id> <disp>figuré</disp>
fr.	<id>fr.</id> <disp>français</disp>
Fr.	<id>Fr.</id> <disp>français</disp>
franç.	<id>franç.</id> <disp>NEW</disp> TODO <count>4</count>
g.	<id>g.</id> <disp>génitif</disp>
G.	<id>G.</id> <disp>Génitif</disp>
gal.	<id>gal.</id> <disp>gaëlique</disp>
gaël.	<id>gaël.</id> <disp>NEW</disp> TODO <count>1</count>
ger.	<id>ger.</id> <disp>NEW</disp> TODO <count>5</count>
germ.	<id>germ.</id> <disp>germanique</disp>
Germ.	<id>Germ.</id> <disp>germanique</disp>
Germ. anc.	<id>Germ. anc.</id> <disp>NEW</disp> TODO <count>2</count>
germ. anc.	<id>germ. anc.</id> <disp>NEW</disp> TODO <count>1</count>
Germ. ancien	<id>Germ. ancien</id> <disp>NEW</disp> TODO <count>1</count>
germ. ancien	<id>germ. ancien</id> <disp>NEW</disp> TODO <count>2</count>
got.	<id>got.</id> <disp>gothique</disp>
goth.	<id>goth.</id> <disp>gothique</disp>
Goth.	<id>Goth.</id> <disp>gothique</disp>
gr.	<id>gr.</id> <disp>grec</disp>
Gr.	<id>Gr.</id> <disp>Grec</disp>
gram.	<id>gram.</id> <disp>NEW</disp> TODO <count>2</count>
gramm.	<id>gramm.</id> <disp>grammaire (vocabulaire des grammairiens indiens)</disp>
gén.	<id>gén.</id> <disp>général</disp>
géom.	<id>géom.</id> <disp>NEW</disp> TODO <count>3</count>
gér.	<id>gér.</id> <disp>gérondif</disp>
Gér.	<id>Gér.</id> <disp>gérondif</disp>
i	<id>i</id> <disp>NEW</disp> TODO <count>2</count>
i.	<id>i.</id> <disp>instrumental</disp>
I.	<id>I.</id> <disp>instrumental</disp>
imp.	<id>imp.</id> <disp>impératif</disp>
Imp.	<id>Imp.</id> <disp>impératif</disp>
impers.	<id>impers.</id> <disp>impersonnel</disp>
impf.	<id>impf.</id> <disp>imparfait</disp>
Impf.	<id>Impf.</id> <disp>imparfait</disp>
ind.	<id>ind.</id> <disp>indicatif</disp>
Ind.	<id>Ind.</id> <disp>indicatif</disp>
indéc.	<id>indéc.</id> <disp>indéclinable</disp>
Indéc.	<id>Indéc.</id> <disp>indéclinable</disp>
indécl.	<id>indécl.</id> <disp>indéclinable</disp>
inf.	<id>inf.</id> <disp>infinitif</disp>
Inf.	<id>Inf.</id> <disp>infinitif</disp>
interj.	<id>interj.</id> <disp>interjection</disp>
Interj.	<id>Interj.</id> <disp>interjection</disp>
interrog.	<id>interrog.</id> <disp>NEW</disp> TODO <count>6</count>
Interrog.	<id>Interrog.</id> <disp>NEW</disp> TODO <count>1</count>
inus.	<id>inus.</id> <disp>inusité</disp>
Irl.	<id>Irl.</id> <disp>irlandais</disp>
irl.	<id>irl.</id> <disp>irlandais</disp>
irland.	<id>irland.</id> <disp>irlandais</disp>
Irland.	<id>Irland.</id> <disp>Irlandais</disp>
irrég.	<id>irrég.</id> <disp>NEW</disp> TODO <count>3</count>
isl.	<id>isl.</id> <disp>NEW</disp> TODO <count>1</count>
island.	<id>island.</id> <disp>NEW</disp> TODO <count>3</count>
jurisp.	<id>jurisp.</id> <disp>NEW</disp> TODO <count>1</count>
jurispr.	<id>jurispr.</id> <disp>NEW</disp> TODO <count>1</count>
kilog.	<id>kilog.</id> <disp>NEW</disp> TODO <count>1</count>
l.	<id>l.</id> <disp>locatif</disp>
L.	<id>L.</id> <disp>locatif</disp>
lat.	<id>lat.</id> <disp>latin</disp>
Lat.	<id>Lat.</id> <disp>latin</disp>
lith.	<id>lith.</id> <disp>lithuanien</disp>
Lith.	<id>Lith.</id> <disp>lithuanien</disp>
logiq.	<id>logiq.</id> <disp>logique</disp>
m à m.	<id>m à m.</id> <disp>mot à mot</disp>
m.	<id>m.</id> <disp>masculin</disp>
M.	<id>M.</id> <disp>Masculin</disp>
m. à m.	<id>m. à m.</id> <disp>mot à mot</disp>
mms.	<id>mms.</id> <disp>même signification</disp>
Mms.	<id>Mms.</id> <disp>Même signification</disp>
mold.	<id>mold.</id> <disp>NEW</disp> TODO <count>1</count>
moy	<id>moy</id> <disp>NEW</disp> TODO <count>1</count>
moy.	<id>moy.</id> <disp>moyen</disp>
Moy.	<id>Moy.</id> <disp>Moyen</disp>
M§	<id>M§</id> <disp>voir notre Méthode sanscrite, paragraphe</disp>
M§§	<id>M§§</id> <disp>voir notre Méthode sanscrite, paragraphes</disp>
méd.	<id>méd.</id> <disp>NEW</disp> TODO <count>18</count>
n.	<id>n.</id> <disp>neutre</disp>
N.	<id>N.</id> <disp>Neutre</disp>
N. E.	<id>N. E.</id> <disp>NEW</disp> TODO <count>1</count>
N. O.	<id>N. O.</id> <disp>NEW</disp> TODO <count>6</count>
N.-E.	<id>N.-E.</id> <disp>NEW</disp> TODO <count>2</count>
N.-O.	<id>N.-O.</id> <disp>nord-ouest</disp>
n.-o.	<id>n.-o.</id> <disp>NEW</disp> TODO <count>2</count>
nom.	<id>nom.</id> <disp>nominatif.</disp>
np.	<id>np.</id> <disp>nom propre</disp>
Np.	<id>Np.</id> <disp>Nom propre</disp>
nég.	<id>nég.</id> <disp>négatif</disp>
o.	<id>o.</id> <disp>optatif</disp>
O.	<id>O.</id> <disp>optatif</disp>
onomat.	<id>onomat.</id> <disp>onomatopée</disp>
opp.	<id>opp.</id> <disp>NEW</disp> TODO <count>3</count>
oppos.	<id>oppos.</id> <disp>opposition</disp>
ord.	<id>ord.</id> <disp>ordinairement</disp>
ordint.	<id>ordint.</id> <disp>ordinairement</disp>
ordt.	<id>ordt.</id> <disp>NEW</disp> TODO <count>10</count>
orth.	<id>orth.</id> <disp>orthographe</disp>
orthog.	<id>orthog.</id> <disp>orthographe</disp>
orthogr.	<id>orthogr.</id> <disp>orthographe</disp>
osq.	<id>osq.</id> <disp>NEW</disp> TODO <count>1</count>
p.	<id>p.</id> <disp>parfait</disp>
P.	<id>P.</id> <disp>Parfait</disp>
partic.	<id>partic.</id> <disp>participe</disp>
Passivt.	<id>Passivt.</id> <disp>NEW</disp> TODO <count>2</count>
Passt.	<id>Passt.</id> <disp>NEW</disp> TODO <count>1</count>
pers.	<id>pers.</id> <disp>personne</disp>
Pers.	<id>Pers.</id> <disp>personne</disp>
pf.	<id>pf.</id> <disp>participe futur</disp>
Pf.	<id>Pf.</id> <disp>participe futur</disp>
pfx.	<id>pfx.</id> <disp>préfixe</disp>
pl.	<id>pl.</id> <disp>pluriel</disp>
Pl.	<id>Pl.</id> <disp>pluriel</disp>
polon.	<id>polon.</id> <disp>polonais</disp>
pp.	<id>pp.</id> <disp>participe passé</disp>
Pp.	<id>Pp.</id> <disp>Participe passé</disp>
PP.	<id>PP.</id> <disp>participe passé</disp>
ppf.	<id>ppf.</id> <disp>participe parfait</disp>
Ppf.	<id>Ppf.</id> <disp>participe parfait</disp>
ppr.	<id>ppr.</id> <disp>participe présent</disp>
Ppr.	<id>Ppr.</id> <disp>participe présent</disp>
pps.	<id>pps.</id> <disp>NEW</disp> TODO <count>1</count>
ppt.	<id>ppt.</id> <disp>proprement</disp>
pqp.	<id>pqp.</id> <disp>plus-que-parfait</disp>
Pqp.	<id>Pqp.</id> <disp>plus-que-parfait</disp>
Pr.	<id>Pr.</id> <disp>Présent</disp>
pr.	<id>pr.</id> <disp>présent</disp>
priv.	<id>priv.</id> <disp>privatif</disp>
pron.	<id>pron.</id> <disp>pronom</disp>
prâkrit	<id>prâkrit</id> <disp>NEW</disp> TODO <count>2</count>
prép.	<id>prép.</id> <disp>préposition</disp>
prépos.	<id>prépos.</id> <disp>NEW</disp> TODO <count>1</count>
ps.	<id>ps.</id> <disp>passif</disp>
Ps.	<id>Ps.</id> <disp>passif</disp>
qconque	<id>qconque</id> <disp>quelconque</disp>
qconque.	<id>qconque.</id> <disp>quelconque</disp>
qconques	<id>qconques</id> <disp>quelconques</disp>
Qpf.	<id>Qpf.</id> <disp>NEW</disp> TODO <count>1</count>
qq.	<id>qq.</id> <disp>quelques(s)</disp>
qqc.	<id>qqc.</id> <disp>quelque chose</disp>
qqf.	<id>qqf.</id> <disp>quelquefois</disp>
Qqf.	<id>Qqf.</id> <disp>quelquefois</disp>
qqn	<id>qqn</id> <disp>NEW</disp> TODO <count>11</count>
qqn.	<id>qqn.</id> <disp>quelqu’un</disp>
qqs	<id>qqs</id> <disp>NEW</disp> TODO <count>1</count>
qqs.	<id>qqs.</id> <disp>NEW</disp> TODO <count>1</count>
rac.	<id>rac.</id> <disp>NEW</disp> TODO <count>9</count>
red.	<id>red.</id> <disp>redoublement</disp>
rhét.	<id>rhét.</id> <disp>rhétorique</disp>
rhétor.	<id>rhétor.</id> <disp>NEW</disp> TODO <count>2</count>
s-ent.	<id>s-ent.</id> <disp>sous-entendu</disp>
s.	<id>s.</id> <disp>substantif</disp>
S.	<id>S.</id> <disp>substantif</disp>
S. E.	<id>S. E.</id> <disp>NEW</disp> TODO <count>1</count>
S. O.	<id>S. O.</id> <disp>NEW</disp> TODO <count>2</count>
sax.	<id>sax.</id> <disp>saxon</disp>
scandin.	<id>scandin.</id> <disp>NEW</disp> TODO <count>1</count>
sf.	<id>sf.</id> <disp>NEW</disp> TODO <count>5</count>
Sf.	<id>Sf.</id> <disp>NEW</disp> TODO <count>1</count>
sfx.	<id>sfx.</id> <disp>suffixe</disp>
sg.	<id>sg.</id> <disp>singulier</disp>
Signif.	<id>Signif.</id> <disp>NEW</disp> TODO <count>1</count>
slav.	<id>slav.</id> <disp>slave</disp>
Slav.	<id>Slav.</id> <disp>slave</disp>
slav. anc.	<id>slav. anc.</id> <disp>NEW</disp> TODO <count>1</count>
subj.	<id>subj.</id> <disp>subjonctif</disp>
sup.	<id>sup.</id> <disp>superlatif</disp>
Sup.	<id>Sup.</id> <disp>superlatif</disp>
Sur.	<id>Sur.</id> <disp>NEW</disp> TODO <count>1</count>
surn.	<id>surn.</id> <disp>surnom</disp>
Surn.	<id>Surn.</id> <disp>Surnom</disp>
suéd.	<id>suéd.</id> <disp>NEW</disp> TODO <count>2</count>
sync.	<id>sync.</id> <disp>syncope</disp>
synon.	<id>synon.</id> <disp>NEW</disp> TODO <count>2</count>
t.	<id>t.</id> <disp>terme</disp>
t. d'arithm.	<id>t. d'arithm.</id> <disp>terme d’arithmétique</disp>
tg.	<id>tg.</id> <disp>terme grammatical</disp>
Tg.	<id>Tg.</id> <disp>terme grammatical</disp>
th.	<id>th.</id> <disp>thème</disp>
tr.	<id>tr.</id> <disp>très</disp>
v.	<id>v.</id> <disp>vocatif</disp>
Vd.	<id>Vd.</id> <disp>Véda, védique</disp>
vd.	<id>vd.</id> <disp>védique</disp>
VÊD.	<id>VÊD.</id> <disp>NEW</disp> TODO <count>1</count>
vêdiq.	<id>vêdiq.</id> <disp>NEW</disp> TODO <count>1</count>
Z.	<id>Z.</id> <disp>NEW</disp> TODO <count>1</count>
zd.	<id>zd.</id> <disp>zend</disp>
Zd.	<id>Zd.</id> <disp>zend</disp>
ép.	<id>ép.</id> <disp>épithète</disp>
Ép.	<id>Ép.</id> <disp>épithète</disp>
